Channel,Message ID,Sender User ID,Sender Username,Message DateTime (UTC),Text,Message Type,Is Forward,Origin Username,Geo-location,Hashtags,URLs Shared,Reactions,Message URL,Views,Forwards,Replies
unity_of_fields,1256,unity_of_fields,unity_of_fields,2025-02-09 19:42:56,"Anonymous submission:

for educational purposes - elon must die
at one of the two tesla showrooms in brooklyn, ny",MessageMediaDocument,False,Not Available,None,[],[],108,https://t.me/unity_of_fields/1256,2040.0,6.0,No Replies
unity_of_fields,1255,unity_of_fields,unity_of_fields,2025-02-07 01:11:40,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1255,2763.0,9.0,No Replies
unity_of_fields,1254,unity_of_fields,unity_of_fields,2025-02-07 01:11:39,"‼️ BREAKING ‼️ Bowdoin Students for Justice in Palestine launch the Shaban al-Dalou Union encampment. 

A message from the students: 
 
Today, we launch this encampment, demanding that Bowdoin immediately commit to fully realizing all four demands of the Bowdoin Solidarity Referendum.
 
We have completely exhausted all of the College's institutional processes for change. We began our campaign totally within the established rules and procedures of the College. We won a student referendum by a supermajority. For months, we have been met with bad faith arguments, placation, and institutional procedure. Bowdoin has left us with no other choice.",MessageMediaPhoto,False,Not Available,None,[],[],142,https://t.me/unity_of_fields/1254,2789.0,8.0,No Replies
unity_of_fields,1253,unity_of_fields,unity_of_fields,2025-02-06 22:04:51,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1253,2247.0,10.0,No Replies
unity_of_fields,1252,unity_of_fields,unity_of_fields,2025-02-06 22:04:51,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1252,2473.0,10.0,No Replies
unity_of_fields,1251,unity_of_fields,unity_of_fields,2025-02-06 22:04:50,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1251,2459.0,10.0,No Replies
unity_of_fields,1250,unity_of_fields,unity_of_fields,2025-02-06 22:04:50,"**LA STUDENTS WALK OUT AGAIN** -

High school AND middle school students have taken over the streets in front of LA city hall for the 5th straight day of anti-ICE, immigration rights protests. This won’t be slowing down anytime soon.

This is the revolutionary base in this country. These are our leaders and the tip of the spear of internationalism in the core. 

Graffiti at LA City Hall reads ""FUCK ICE"" ""FUCK TRUMP"" ""FUCK LAPD.""

**LONG LIVE THE STUDENT INTIFADA!**

Via [People's City Council](https://x.com/PplsCityCouncil/status/1887594591433416757) & [Unity of Fields](https://x.com/unityoffields/status/1887620541651296638) on X",MessageMediaDocument,False,Not Available,None,[],"['https://x.com/PplsCityCouncil/status/1887594591433416757)', 'https://x.com/unityoffields/status/1887620541651296638)']",152,https://t.me/unity_of_fields/1250,2062.0,10.0,No Replies
unity_of_fields,1249,unity_of_fields,unity_of_fields,2025-02-05 22:18:45,"Anonymous submission:

Allianz Global Investors is a premier financier of Elbit Systems, Israel’s largest weapons company. Taking inspiration from Palestine Action's coordinated hit on Allianz across five European countries last week, a group of actionists struck Allianz' Midtown Manhattan headquarters Tuesday night. Just blocks from Times Square, the group defaced the Allianz sign and logo in a symbolic act of dissent against its support for genocide. From the group: Allianz, we are putting you on notice. You and any other corporation who enables Israel's wanton slaughter of Palestinians will pay a price. You are not welcome in NYC.",MessageMediaDocument,False,Not Available,None,[],[],133,https://t.me/unity_of_fields/1249,2291.0,9.0,No Replies
unity_of_fields,1248,unity_of_fields,unity_of_fields,2025-02-05 04:54:52,"**__""We should thank Trump for revealing yet again the true face of the U.S. administration—a racist, criminal, murderous, bloodthirsty entity that confiscates freedoms, plunders wealth, conspires against oppressed peoples.""

""Neither Trump nor his father, nor his grandfather, nor George Bush, nor his father, nor his grandfather, nor any of these racists can touch the courage, will, conviction, or faith of even a child among us, let alone our men and elders. Therefore, we are not worried; rather, we are very optimistic, because when an idiot resides in the White House and openly flaunts his foolishness, it marks the beginning of relief for the oppressed around the world.""__**

[Martyr Sayyed Hassan Nasrallah - February 12th, 2017](https://t.me/sayyed_speeches/277)",MessageMediaDocument,True,PalestineResist,None,[],['https://t.me/sayyed_speeches/277)'],149,https://t.me/unity_of_fields/1248,1516.0,19.0,No Replies
unity_of_fields,1247,unity_of_fields,unity_of_fields,2025-02-05 04:16:50,"The resistance has both material and epsitemological dimensions. It materially works to overturn the equation of force that underpins the colonization of Palestine.

But the next necessary step is epistemological - **the resistance becomes the basis for ""knowing"" differently.**

Specifically, for knowing how the world is shifting, how power is shifting, and how the nature of threats issued by the US and Israel can be assessed.

**Do you just watch the resistance or take it seriously as a source of knowledge about the world?

**And particularly in terms of how the world of imperialism and colonialism is being challenged? **
**
The perhaps you will come to know a world in which the colonizer and imperialist is not always in control. ([Bikrum Gill](https://x.com/bikrumsinghgill/status/1886981168756572472))",Text,False,Not Available,None,[],['https://x.com/bikrumsinghgill/status/1886981168756572472))'],102,https://t.me/unity_of_fields/1247,1939.0,15.0,No Replies
unity_of_fields,1245,unity_of_fields,unity_of_fields,2025-02-02 20:46:26,"[New Syrian resistance faction begins operations against Israeli occupation forces](https://thecradle.co/articles/new-syrian-resistance-faction-begins-operations-against-israeli-occupation-forces)**

**The group also announced it would carry out operations against 'the terrorist gangs' led by former ISIS and Al-Qaeda warlord Ahmad al-Sharaa, who was appointed as Syria's transitional president this week",MessageMediaPhoto,True,thecradlemedia,None,[],['https://thecradle.co/articles/new-syrian-resistance-faction-begins-operations-against-israeli-occupation-forces)**'],142,https://t.me/unity_of_fields/1245,2188.0,8.0,No Replies
unity_of_fields,1244,unity_of_fields,unity_of_fields,2025-02-02 19:15:19,"**City-Owned Bulldozer Burned in Honor of Cornelius Taylor – Atlanta, GA**

In the early morning hours of january 30 some concerned citizens incinerated the bulldozer that the city of atlanta used to murder Cornelius Taylor while he slept. just as the IDF uses bulldozers to demolish refugee camps in Palestine, the city of atlanta uses bulldozers to flatten homeless encampments. they clear streets for parades honoring civil rights heroes while the poor freeze to death. the death of Cornelius Taylor was not a tragic accident but a continuation of the violent process of gentrification. we will not wait for the city to investigate itself and declare itself innocent of wrongdoing yet again while another person's blood stains the ground. the city of atlanta does not care about human life but they do care about dollars. we destroyed their murder weapon on january 30 in direct retaliation against their cruelty, knowing they will only stop when their tools are broken. we call on other autonomous actors to join us in avenging Cornelius. 

__Via __[__unravel.noblogs.org__](https://unravel.noblogs.org/city-owned-bulldozer-burned-in-honor-of-cornelius-taylor-atlanta-ga/)",MessageMediaPhoto,False,Not Available,None,[],['https://unravel.noblogs.org/city-owned-bulldozer-burned-in-honor-of-cornelius-taylor-atlanta-ga/)'],117,https://t.me/unity_of_fields/1244,2199.0,4.0,No Replies
unity_of_fields,1243,unity_of_fields,unity_of_fields,2025-02-01 17:01:48,"An Al-Qassam Brigades fighter says:

""The only message we send to our people and the occupation is that bodies die, but ideas will never die.""",MessageMediaDocument,False,Not Available,None,[],[],158,https://t.me/unity_of_fields/1243,2267.0,20.0,No Replies
unity_of_fields,1242,unity_of_fields,unity_of_fields,2025-02-01 16:53:09,"[**Recent Dispatches from Comrades in Germany, 2024–25**](https://germanguerilla.com/2025/01/28/recent-dispatches-from-comrades-in-germany-2024-25/)

By the time Daniela Klette, Burkhard Garweg, and Volker Staub ended up on wanted posters, the group they were accused of belonging to—the [**Red Army Faction**](https://files.libcom.org/files/Red%20Army%20Faction%20-%20Projectiles%20For%20The%20People.pdf)—had been in existence for over two decades. The RAF was a clandestine organization that had waged armed struggle throughout the 1970s and 1980s in order to create an anti-imperialist pole of resistance in West Germany, as the country was known at the time. Several members died in the course of the struggle, and dozens of guerrillas and their supporters served lengthy prison terms.

It is alleged that Daniela, Burkhard, and Volker were active in the group in its final years, the 1990s. Daniela was captured in 2024, and Burkhard is now the focus of a newly energized manhunt. We have produced this document to inform comrades in the English-speaking world of their situation and politics....

Daniela Klette was captured on February 26, 2024. The apartment building she had been living in was raided, with news reports about dangerous weapons on the premises necessitating the evacuation of the residents. Realizing the police were outside her door, she managed to send a quick text message before disposing of her phone’s sim card; Burkhard was long gone before police raided the alternative caravan park he had been living in and working at as a caretaker. For the first two months, Daniela was held in a cell constantly under video surveillance and was kept isolated from other prisoners. She was initially charged with participation in thirteen robberies committed between 1999 and 2016 and “attempted murder” (a cash transport vehicle driver was allegedly shot at). A separate trial is being prepared for her based on charges stemming from RAF actions prior to the group’s dissolution...

The state has targeted a number of former RAF members since the group disbanded, trying to dredge up new charges for actions the group carried out when it was active, often actions that other people have already served years or decades in prison for. The fact that the RAF was active for so long and was never defeated but instead chose to disband, and that most former members have refused to recant or to provide information, sets a precedent that is dangerous to those in power. It is an example they have long hoped to snuff out. Similar to the prosecution of elderly former militants in other countries for actions long past, the goal is to stamp out the memory of a certain kind of resistance, lest it become a factor once again as contradictions unfold and the capitalist edifice crumbles ever more.

We are presenting here a letter from prison by Daniela that was read by actor Rolf Becker at the thirtieth International Rosa Luxemburg Congress in Berlin, on January 11, 2025. We are also presenting a letter by Burkhard that late last year was delivered to the taz, a progressive newspaper with its origins in the 1970s radical left, by an attorney acting on his behalf. All footnotes are additions by the translators. These texts can be viewed on this site:

[**__Greetings from the Underground, Martin (Burkhard Garweg)__**](http://germanguerilla.com/2025/01/24/greetings-from-the-underground-martin-burkhard-garweg-late-2024/)**__

__**[**__Letter from Daniela to the Rosa Luxemburg Congress__**](http://germanguerilla.com/2025/01/24/letter-from-daniela-klette-to-the-rosa-luxemburg-congress-january-11-2025/)__

These texts can be downloaded as a pamphlet __[**__here__**](http://germanguerilla.com/wp-content/uploads/2025/01/dispatches-booklet.pdf)__**.**

For more reports on this case in German: __**__political-prisoners.net__**__

The most extensive online collection of documents by or related to the RAF can be found at __**__socialhistoryportal.org/raf__**

Daniela reads English, Spanish, Portuguese, and, of course, German. Mail takes about a month to reach her and cannot include any enclosures such as flyers or newspaper articles. You can write to her at:

__Daniela Klette
JVA für Frauen
An der Propstei 10
49377 Vechta
Germany__

[**Read the full article here**](https://germanguerilla.com/2025/01/28/recent-dispatches-from-comrades-in-germany-2024-25/).",Text,False,Not Available,None,[],"['https://germanguerilla.com/2025/01/28/recent-dispatches-from-comrades-in-germany-2024-25/)', 'https://files.libcom.org/files/Red%20Army%20Faction%20-%20Projectiles%20For%20The%20People.pdf)—had', 'http://germanguerilla.com/2025/01/24/greetings-from-the-underground-martin-burkhard-garweg-late-2024/)**__', 'http://germanguerilla.com/2025/01/24/letter-from-daniela-klette-to-the-rosa-luxemburg-congress-january-11-2025/)__', 'http://germanguerilla.com/wp-content/uploads/2025/01/dispatches-booklet.pdf)__**.**', 'https://germanguerilla.com/2025/01/28/recent-dispatches-from-comrades-in-germany-2024-25/).']",45,https://t.me/unity_of_fields/1242,2059.0,13.0,No Replies
unity_of_fields,1241,unity_of_fields,unity_of_fields,2025-01-30 17:12:27,"**🚨🟢 The military spokesman for the Martyr Izz El-Din Al-Qassam Brigades, Abu Obeida, announces the martyrdom of the **[**commander**](https://t.me/PalestineResist/13228)**-in-chief of the Qassam Brigades, **[**Mohammed al-Deif**](https://t.me/PalestineResist/61220)**, ""Abu Khaled,"" along with a constellation of leaders in the field throughout the course of Al-Aqsa Flood.

**[**Put the sword before the sword, we are the people of Mohammed Deif.**](https://t.me/PalestineResist/6348)",MessageMediaPhoto,True,PalestineResist,None,[],"['https://t.me/PalestineResist/13228)**-in-chief', 'https://t.me/PalestineResist/61220)**,', 'https://t.me/PalestineResist/6348)']",103,https://t.me/unity_of_fields/1241,1860.0,4.0,No Replies
unity_of_fields,1240,unity_of_fields,unity_of_fields,2025-01-30 05:34:57,"""Samidoun’s upholding of the legitimacy of Palestinian armed resistance, and specific support of the organizations leading the Palestinian resistance, broke out of the confines of that chilling effect and was inspiring to many, especially young people who had grown up in the political fog of the war on terror.  While these political positions are not technically illegal under Canadian law, they raised a real ideological threat to the Anglo-American Imperialist Alliance, and led to the state repression leveled against them. 

In the broader context of the Palestine solidarity movement the Samidoun terror designation should be seen as one point, and an important one, denoting a particular boundary, on a continuum of repression that includes spurious charges and harassment at demonstrations, bogus ‘hate speech’ charges, firings and workplace discipline for speaking out, and the general chill on talking about Palestine, all intended to contain the movement.""

https://unitedinstruggle.ca/2025/01/28/from-the-picket-line-to-palestine-we-need-to-build-resistance-to-state-repression-into-the-dna-of-our-movements/",MessageMediaWebPage,True,samidoun_network,None,[],['https://unitedinstruggle.ca/2025/01/28/from-the-picket-line-to-palestine-we-need-to-build-resistance-to-state-repression-into-the-dna-of-our-movements/'],61,https://t.me/unity_of_fields/1240,2140.0,3.0,No Replies
unity_of_fields,1239,unity_of_fields,unity_of_fields,2025-01-30 02:00:44,"Anonymous submission from Columbia:

""Im so scared. Please come."" One year ago today, these were Hind's last words as she called for an ambulance, while Israeli forces unleashed 355 bullets murdering her as she hid in a car. One year ago, the world failed Hind. But today and everyday we owe Hind, all our martyrs, and ourselves, action. 

So today we acted. Inspired by Hind, and the bravery of every Palestinian child who has faced down Israeli genocide for the last century - whether they threw a molotov at a checkpoint, a rock at a tank, or made a call for help. So long as they resist, so must we. We attacked two targets at Columbia University. First, the Kravis Columbia School of Business, one of Columbia's most recent violent gentrification projects into Harlem, the construction of which was conditioned on the creation of Columbia's Apartheid Global Center in ""Tel Aviv"". We will not allow this land-grab to go unchallenged. Second, we attacked the School of International and Public Affairs - the first Columbia institution to expel a student for their support for Palestinian liberation, currently run by a former ""Israeli intelligence officer"" - Killer Keren, and staffed by Rebecca Weiner, head of the Counterterrorism Unit of the NYPD, who directed the brutal police assault on our comrades in Hind's Hall last May. We left Hind's call painted on SIPA, and we cemented the sewage lines of the entire building, forcing them to shut down business-as-usual.

We are not experts in what it means to take revolutionary action. We are people - just like you - who, today, chose to act. We were afraid- to be arrested, suspended, and expelled; and that is exactly the point. The goal is not to be fearless, but to recognize that to be afraid is merely a symptom of our moral clarity. We are soberly aware of what we may lose if we act, and we are soberly aware of how much more we will lose if we don't. The most severe consequence we could face today is not expulsion or prison time- it is the knowledge that we had the opportunity to act, and, instead, chose cowardice. The most severe consequence we could face is not only to have failed Hind one year ago, but to have continued to fail her today. 
 
So we invite you to join us. Let us identify the actions that elicit fear in us, find the people who we can be courageous with, embrace the fear, and take collective action.

As Hind's mother watched the scene of Hind's Hall unfold, she said ""I wanted these movements and support to come while Hind was still alive and not after... but I was still happy that there's a possibility that Hind's cause could move and mobilize people in this world."" Let us act together and transform that possibility into a reality. 

For Hind, with love and rage from Columbia.",MessageMediaDocument,False,Not Available,None,[],[],116,https://t.me/unity_of_fields/1239,8133.0,38.0,No Replies
unity_of_fields,1238,unity_of_fields,unity_of_fields,2025-01-29 22:41:55,"**Solidarity Wins: Jury finds Eugene, OR Protesters Against the Genocide in Palestine Innocent** ([article](https://itsgoingdown.org/jury-finds-protesters-eugene-innocent/))

On April 15th, 2024 thousands of people around the world participated in an autonomously organized and coordinated economic blockade to free Palestine. “There is a sense in the streets,” the proposal for the action stated, “in this recent and unprecedented movement for Palestine that escalation has become necessary: there is a need to shift from symbolic actions to those that cause pain to the economy.” In 82 cities, 19 countries, actions blockaded ports, airports, highways, city squares, and weapons manufacturers, seeing potentially millions of dollars in unrealized profits and over 400 arrests.

62 of those arrests were in Eugene, Oregon, where Interstate 5 was blockaded by cars and protestors for about an hour before over 100 police from state, county, and city departments cleared the highway. Those arrested were charged with misdemeanor disorderly conduct in the second degree. The majority of the defendants were offered diversion “plea deals,” while the state singled out three protestors to whom they refused to offer deals, including a Palestinian student organizer. The defendants organized over the following months intentionally to engage in collective defense, hoping that threatening to take 62 cases to trial would be leverage enough to force the state to offer everyone equal treatment or even to drop the charges.

The state refused every attempt at negotiation after rallies, letters, phone zaps, and meetings between the DA and public defenders and movement lawyers. As time went on, and defendants felt the mounting impact of the arrests and pending charges on their housing, jobs, health, and broader lives, more and more defendants accepted the plea deals. Many still intended to take their cases to trial in solidarity with their comrades facing more serious repression. 11 trials occurred between October 2024 and January 2025, with 11 guilty verdicts returned. Defendants attempted to put the US government’s unwavering support of genocide on trial, using pre-trial ‘choice of evils’ hearings to bring in experts to testify about Palestine and direct action, such as a UN special rapporteur, and taking the stand themselves to explain their actions.

The state attempted at every avenue to de-politicize the action, framing it as a case about “selfishness,” and judges frequently denied defendants’ ability to even talk about Palestine on the stand, while also rejecting expert testimony or defense strategies that could bring the US funding of genocide into view. When it came time for the Palestinian student activist to go to trial along with their Lebanese co-defendant, it seemed like all strategies of collective defense had failed. The “choice of evils” pre-trial hearing ended with the judge refusing multiple expert witnesses the ability to testify in front of the jury about US complicity in the genocide in Palestine.

Yet, at the end of the trial, the jury returned a “not guilty” verdict, acquitting both defendants. Was it jury nullification? Was it simply that the state’s clear political repression of Palestine solidarity was more evident than “evidence” of crime? Was it the defendant’s powerful testimony on their personal relationship to the land, people, and resistance in Palestine and Lebanon? All we know is that the state failed in all regards –especially in its attempt to repress Palestine solidarity actions, collective solidarity, and the individual Palestinian activist they singled out, and we know that together we are stronger than the state’s best efforts to repress us.

Our hearts are bursting with love and rage for those behind the closed doors of the jury deliberation room who remained steadfast in their determination not to participate in the state’s repression of Palestine solidarity!

The following is a statement from the A15 Eugene for a Free Palestine [**Instagram**](https://www.instagram.com/a15eugene/).",MessageMediaWebPage,False,Not Available,None,[],"['https://itsgoingdown.org/jury-finds-protesters-eugene-innocent/))', 'https://www.instagram.com/a15eugene/).']",80,https://t.me/unity_of_fields/1238,1845.0,3.0,No Replies
unity_of_fields,1237,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1237,6176.0,12.0,No Replies
unity_of_fields,1236,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1236,7055.0,12.0,No Replies
unity_of_fields,1235,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1235,6503.0,12.0,No Replies
unity_of_fields,1234,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1234,6084.0,12.0,No Replies
unity_of_fields,1233,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,,MessageMediaPhoto,False,Not Available,None,[],[],0,https://t.me/unity_of_fields/1233,6070.0,12.0,No Replies
unity_of_fields,1232,unity_of_fields,unity_of_fields,2025-01-29 22:38:07,"[**Palestine Action**](https://x.com/Pal_action/status/1884596837748756950): In the past few days, Palestine Action has taken direct action in six countries. 

We are globalising the resistance against the Israeli weapons industry. 

Trainings will be launched soon for the global community to set up Palestine Action in your region. Watch this space. @Pal_Act",MessageMediaPhoto,False,Not Available,None,[],['https://x.com/Pal_action/status/1884596837748756950):'],83,https://t.me/unity_of_fields/1232,5890.0,12.0,No Replies
